date,deaths
1841-01-01,37
1841-02-01,18
1841-03-01,12
1841-04-01,4
1841-05-01,2
1841-06-01,10
1841-07-01,16
1841-08-01,3
1841-09-01,4
1841-10-01,26
1841-11-01,53
1842-01-01,64
1842-02-01,38
1842-03-01,27
1842-04-01,26
1842-05-01,10
1842-06-01,18
1842-07-01,48
1842-08-01,55
1842-09-01,41
1842-10-01,71
1842-11-01,48
1842-12-01,75
1843-01-01,52
1843-02-01,42
1843-03-01,33
1843-04-01,34
1843-05-01,15
1843-06-01,8
1843-07-01,1
1843-08-01,3
1843-09-01,5
1843-10-01,44
1843-11-01,18
1843-12-01,19
1844-01-01,37
1844-02-01,29
1844-03-01,47
1844-04-01,36
1844-05-01,14
1844-06-01,6
1844-07-01,9
1844-08-01,17
1844-09-01,3
1844-10-01,8
1844-11-01,27
1844-12-01,27
1845-01-01,23
1845-02-01,13
1845-03-01,13
1845-04-01,11
1845-05-01,13
1845-06-01,20
1845-07-01,15
1845-08-01,9
1845-09-01,25
1845-10-01,42
1845-11-01,29
1845-12-01,28
1846-01-01,45
1846-02-01,53
1846-03-01,48
1846-04-01,48
1846-05-01,41
1846-06-01,27
1846-07-01,33
1846-08-01,39
1846-09-01,39
1846-10-01,38
1846-11-01,32
1846-12-01,16
1847-01-01,10
1847-02-01,6
1847-03-01,11
1847-04-01,57
1847-05-01,36
1847-06-01,6
1847-07-01,3
1847-08-01,5
1847-09-01,12
1847-10-01,11
1847-11-01,11
1847-12-01,8
1848-01-01,10
1848-02-01,2
1848-03-01,0
1848-04-01,2
1848-05-01,3
1848-06-01,3
1848-07-01,1
1848-08-01,0
1848-09-01,3
1848-10-01,7
1848-11-01,9
1848-12-01,5
1849-01-01,9
1849-02-01,12
1849-03-01,20
